month	state	Avian-Wild	Cattle	Chicken	Environment	Human	Nonhuman-mammal	Turkey
2023-11	?	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01	CA	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-01	WY	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-02	CA	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-02	NM	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-02	TX	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-03	?	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-03	ID	0.0	11.0	0.0	0.0	0.0	0.0	0.0
2024-03	KS	0.0	13.0	0.0	0.0	0.0	0.0	0.0
2024-03	MI	0.0	10.0	0.0	0.0	0.0	0.0	0.0
2024-03	NM	0.0	12.0	0.0	0.0	4.0	2.0	0.0
2024-03	OH	0.0	26.0	0.0	0.0	0.0	0.0	0.0
2024-03	OK	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-03	TX	6.0	124.0	9.0	0.0	9.0	3.0	0.0
2024-04	?	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2024-04	CO	0.0	12.0	0.0	1.0	0.0	0.0	0.0
2024-04	ID	0.0	54.0	2.0	0.0	0.0	0.0	0.0
2024-04	KS	0.0	4.0	1.0	0.0	0.0	0.0	0.0
2024-04	MI	0.0	66.0	14.0	0.0	15.0	0.0	5.0
2024-04	MN	0.0	0.0	0.0	0.0	0.0	0.0	7.0
2024-04	NC	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-04	NM	2.0	42.0	9.0	0.0	5.0	0.0	0.0
2024-04	OH	0.0	27.0	0.0	0.0	1.0	0.0	0.0
2024-04	OK	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-04	SD	0.0	31.0	0.0	0.0	2.0	0.0	0.0
2024-04	TX	1.0	18.0	2.0	0.0	0.0	0.0	0.0
2024-04	WY	0.0	45.0	0.0	0.0	0.0	0.0	0.0
2024-05	CO	0.0	9.0	0.0	0.0	2.0	0.0	0.0
2024-05	GA	0.0	0.0	0.0	0.0	0.0	48.0	0.0
2024-05	IA	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2024-05	ID	1.0	105.0	5.0	0.0	5.0	0.0	0.0
2024-05	MI	0.0	55.0	2.0	0.0	4.0	0.0	2.0
2024-05	MN	0.0	0.0	11.0	0.0	0.0	0.0	19.0
2024-05	NM	1.0	0.0	0.0	0.0	3.0	0.0	0.0
2024-05	SD	0.0	13.0	0.0	0.0	0.0	0.0	0.0
2024-05	TX	0.0	42.0	0.0	0.0	0.0	0.0	0.0
2024-06	CO	0.0	111.0	4.0	0.0	0.0	0.0	0.0
2024-06	IA	4.0	48.0	0.0	0.0	1.0	0.0	4.0
2024-06	ID	0.0	20.0	1.0	0.0	0.0	0.0	0.0
2024-06	MI	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-06	MN	0.0	88.0	2.0	0.0	1.0	0.0	19.0
2024-06	TX	0.0	6.0	0.0	0.0	1.0	0.0	0.0
2024-07	CO	1.0	117.0	32.0	0.0	9.0	0.0	0.0
2024-07	IA	0.0	7.0	0.0	0.0	0.0	0.0	0.0
2024-07	ID	0.0	6.0	2.0	0.0	0.0	0.0	0.0
2024-07	MI	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2024-07	MN	0.0	6.0	0.0	0.0	0.0	0.0	5.0
2024-07	OK	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-07	SD	0.0	10.0	0.0	0.0	0.0	0.0	0.0
2024-07	TX	0.0	16.0	0.0	0.0	0.0	0.0	0.0
2024-08	CA	0.0	9.0	0.0	0.0	0.0	0.0	0.0
2024-08	CO	0.0	23.0	0.0	0.0	0.0	0.0	0.0
2024-08	GA	0.0	0.0	0.0	0.0	0.0	42.0	0.0
2024-08	IA	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2024-08	ID	0.0	3.0	0.0	0.0	0.0	0.0	0.0
2024-08	MI	0.0	4.0	0.0	0.0	0.0	0.0	0.0
2024-09	CA	2.0	226.0	0.0	0.0	0.0	0.0	0.0
2024-09	CO	0.0	5.0	0.0	0.0	0.0	0.0	0.0
2024-09	ID	0.0	5.0	0.0	0.0	0.0	0.0	2.0
2024-10	CA	5.0	294.0	93.0	0.0	9.0	0.0	29.0
2024-10	ID	1.0	3.0	2.0	0.0	0.0	0.0	1.0
2024-10	UT	3.0	6.0	2.0	0.0	0.0	0.0	0.0
2024-11	CA	3.0	345.0	18.0	0.0	7.0	0.0	2.0
2024-11	KS	0.0	1.0	0.0	0.0	11.0	0.0	0.0
2024-11	UT	0.0	5.0	0.0	0.0	0.0	0.0	0.0
2024-11	WA	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-12	CA	8.0	402.0	100.0	0.0	25.0	0.0	3.0
2024-12	CO	0.0	0.0	0.0	0.0	10.0	0.0	0.0
2024-12	ID	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2024-12	NV	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-12	OR	1.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-12	TX	0.0	63.0	0.0	0.0	0.0	0.0	0.0
2024-12	UT	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-12	WA	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2025-01	CA	1.0	31.0	1.0	0.0	2.0	0.0	4.0
2025-01	CO	0.0	0.0	0.0	0.0	2.0	0.0	0.0
2025-02	CA	0.0	43.0	0.0	0.0	0.0	0.0	0.0
2025-02	NY	0.0	0.0	0.0	0.0	2.0	0.0	0.0
2025-02	OR	0.0	0.0	0.0	12.0	6.0	0.0	0.0
2025-02	WA	0.0	0.0	0.0	0.0	4.0	0.0	0.0
2025-03	CA	0.0	37.0	0.0	0.0	0.0	0.0	0.0
2025-03	ID	0.0	12.0	0.0	0.0	0.0	0.0	0.0
2025-03	NY	0.0	0.0	0.0	0.0	2.0	0.0	0.0
2025-04	CA	0.0	7.0	0.0	0.0	0.0	0.0	0.0
2025-04	ID	0.0	33.0	0.0	0.0	0.0	0.0	0.0
